Irradiance (W/m²),Module temperature (°C),Efficiency
195.65,11.289,0.0861040096190782
154.8,24.49,0.07778709423867916
1020.0,34.336,0.09521952170839326
96.385,18.422,0.07847981359980107
1095.5,39.43,0.08192350766983117
44.096,23.809,0.050503907535200294
739.63,44.122,0.08594590862931831
212.26,3.7297,0.08535224239412065
266.18,24.787,0.0737639187787916
1104.3,52.186,0.08068523455329034
790.74,20.922,0.09529072323373887
32.957,23.659,0.04956665268075076
199.91,14.678,0.0848081595275686
880.09,33.222,0.08744537612914234
870.73,40.464,0.07940139152523554
699.55,34.68,0.08994237400201889
67.248,23.425,0.06447918370622921
838.61,50.949,0.07711831756329283
346.18,23.455,0.0793145396477766
276.01,20.046,0.0728214965093804
231.97,6.7299,0.07880393668093863
1151.1,28.883,0.07206930087197806
332.54,50.035,0.08153096869513388
46.017,11.145,0.048159646508410765
689.79,24.812,0.08610703677468354
598.0,36.225,0.08952067050411165
170.58,4.9929,0.05607741744761309
763.72,38.293,0.0932411248807259
906.21,25.904,0.08705141504326505
52.151,19.533,0.05633486610333442
478.47,22.113,0.09433820821897149
133.75,7.8781,0.06802405970773574
910.56,38.362,0.08638886637519505
42.378,12.479,0.05369940619088672
159.96,34.814,0.04381534670862079
245.41,30.873,0.0844447276193144
677.01,35.358,0.07811339190160474
653.62,51.469,0.088173546356063
27.299,24.414,0.058619314008897215
503.58,34.965,0.08066899104360561
779.39,16.748,0.08398823934943503
334.35,18.212,0.07098779720608878
320.3,30.01,0.08378748735741552
81.47,4.8851,0.07019890571665661
133.0,16.5,0.05388232288138498
747.3099999999998,45.07,0.08217344127205066
1031.1,46.749,0.09088262616545856
767.86,51.831,0.07321600760188306
464.15,32.386,0.0935755054748287
32.827,8.1743,0.04687195179400035
365.51,12.976,0.08922922280743745
45.185,19.005,0.0609420744417629
38.361,15.537,0.049325289393918725
675.63,30.417,0.08506189606067598
1233.9,46.085,0.07935109305240641
729.19,34.318,0.08308442909650467
982.35,26.565,0.08652509583202793
708.9,27.706,0.08772251353740147
994.1,50.527,0.08484371926150447
694.29,37.291,0.08937029451960146
677.48,26.753,0.08466200808872626
120.83,12.313,0.07278706586666975
227.2,5.7645,0.0743952942687205
319.38,25.063,0.08849512278983755
799.98,31.101,0.09526864777504228
367.51,37.458,0.06490966869332435
253.56,18.761,0.0690539694444439
238.23,12.423,0.06580858739962299
180.17,29.688,0.08071301449170087
1118.9,34.952,0.08537335211374233
633.94,41.792,0.08850901879785072
945.27,41.401,0.08117279862384245
64.466,15.685,0.05541010711365003
307.86,15.753,0.09568614363356803
147.58,38.554,0.0887758054001996
957.1400000000002,41.075,0.09154050001203248
238.53,20.942,0.05121853463251197
39.535,21.766,0.05503472270448565
1011.6,51.157,0.08833298347539859
268.05,33.722,0.08890474117648968
670.36,34.508,0.08723532384835833
1154.7,52.163,0.08108987607217351
1033.4,38.473,0.0880014879726621
736.62,23.83,0.0821372444515137
115.0,33.691,0.09056739761076776
70.806,19.92,0.0725141719395334
564.41,38.855,0.09050155635641598
463.06,11.36,0.08850653813031241
879.88,22.848,0.0976850232054211
406.76,30.818,0.0881884384323499
83.551,9.408,0.06298541991988703
42.021,24.394,0.05466451547182421
1040.8,50.971,0.0779406194922265
